City,Place Name,Place Types,Place Type,Relevant Tags
Mumbai,Colaba Causeway,Shopping,Shopping,"Street shopping, Cafes, Nightlife"
Mumbai,Olive Bar & Kitchen,Restaurant,Restaurant,"Fine Dining, Cocktails, Live Music"
Mumbai,Jiva Spa,Self Care,Self Care,"Relaxation, Ayurveda, Wellness"
Mumbai,Chhatrapati Shivaji Terminus,Sight Seeing,Sight Seeing,"Heritage, Architecture, Train station"
Mumbai,The Bombay Canteen,Restaurant,Restaurant,"Fusion cuisine, Cocktails, Brunch"
Mumbai,Bombay Art Society,Sight Seeing,Sight Seeing,"Exhibitions, Workshops, Art events"
Mumbai,High Street Phoenix,Shopping,Shopping,"Brands, Entertainment, Food"
Mumbai,Trilogy,Clubs & Bars,Bars & Clubs,"Music, Dance, Cocktails"
Mumbai,Sanjay Gandhi National Park,Sight Seeing,Sight Seeing,"Trekking, Nature, Wildlife"
Mumbai,The Yoga Institute,Self Care,Shopping,"Yoga classes, Meditation, Wellness"
Mumbai,Nariman Point,Sight Seeing,Sight Seeing,"Sea views, Skyline, Leisure"
Mumbai,Leopold Cafe,Cafe,Shopping,"Continental, Beer, Ambience"
Mumbai,Hard Rock Cafe,Restaurant,Restaurant,"American cuisine, Cocktails, Music"
Mumbai,Nehru Planetarium,Sight Seeing,Sight Seeing,"Astronomy, Exhibits, Shows"
Mumbai,Blue Frog,Clubs & Bars,Shopping,"Jazz, Electronic, Music"
Mumbai,Auriga Restaurant,Restaurant,Restaurant,"North Indian cuisine, Fine Dining, Outdoor seating"
Mumbai,Zaveri Bazaar,Shopping,Shopping,"Gold, Diamonds, Wedding shopping"
Mumbai,Marine Drive,Sight Seeing,Sight Seeing,"Sunset views, Sea views, Jogging"
Mumbai,Smaaash,Activity,Entertainment,"Virtual Reality, Arcade games, Food"
Mumbai,Taj Mahal Palace Hotel,Sight Seeing,Sight Seeing,"Heritage, Luxury, Dining"
